divipola,nivel,departamento,municipio,dimension,indicador_id,indicador,unidad,fuente,valor,fecha_corte
63,departamental,Quindío,,Salud,salud_n,Puntos registrados (Salud),Número,Naboo,16,2026-09-04
63,departamental,Quindío,,Salud,salud_incidencia_tasa_100k,Tasa de incidencia (Salud),Tasa x100k hab.,Calculo,2.8776978417266186,2026-09-04
63,departamental,Quindío,,Salud,salud_incidencia_idx,Incidencia (Salud),Índice 0-100,Calculo,77.84541597491238,2026-09-04
63,departamental,Quindío,,Salud,salud_severidad_promedio,Severidad promedio cruda (Salud),Peso promedio,Calculo,1.625,2026-09-04
63,departamental,Quindío,,Salud,salud_severidad_idx,Severidad promedio (Salud),Índice 0-100,Calculo,54.166666666666664,2026-09-04
63,departamental,Quindío,,Salud,salud_idx,Salud,Índice 0-100,Calculo,66.00604132078952,2026-09-04
63,departamental,Quindío,,Vivienda,vivienda_n,Puntos registrados (Vivienda),Número,Naboo,41,2026-09-04
63,departamental,Quindío,,Vivienda,vivienda_incidencia_tasa_100k,Tasa de incidencia (Vivienda),Tasa x100k hab.,Calculo,7.37410071942446,2026-09-04
63,departamental,Quindío,,Vivienda,vivienda_incidencia_idx,Incidencia (Vivienda),Índice 0-100,Calculo,78.85773014241667,2026-09-04
63,departamental,Quindío,,Vivienda,vivienda_severidad_promedio,Severidad promedio cruda (Vivienda),Peso promedio,Calculo,2.8536585365853657,2026-09-04
63,departamental,Quindío,,Vivienda,vivienda_severidad_idx,Severidad promedio (Vivienda),Índice 0-100,Calculo,100.0,2026-09-04
63,departamental,Quindío,,Vivienda,vivienda_idx,Vivienda,Índice 0-100,Calculo,89.42886507120834,2026-09-04
63,departamental,Quindío,,Instituciones,instituciones_n,Puntos registrados (Instituciones),Número,Naboo,82,2026-09-04
63,departamental,Quindío,,Instituciones,instituciones_incidencia_tasa_100k,Tasa de incidencia (Instituciones),Tasa x100k hab.,Calculo,14.74820143884892,2026-09-04
63,departamental,Quindío,,Instituciones,instituciones_incidencia_idx,Incidencia (Instituciones),Índice 0-100,Calculo,94.29910616960976,2026-09-04
63,departamental,Quindío,,Instituciones,instituciones_severidad_promedio,Severidad promedio cruda (Instituciones),Peso promedio,Calculo,1.7560975609756098,2026-09-04
63,departamental,Quindío,,Instituciones,instituciones_severidad_idx,Severidad promedio (Instituciones),Índice 0-100,Calculo,100.0,2026-09-04
63,departamental,Quindío,,Instituciones,instituciones_idx,Instituciones,Índice 0-100,Calculo,97.14955308480488,2026-09-04
63,departamental,Quindío,,Educación,educacion_n,Puntos registrados (Educación),Número,Naboo,62,2026-09-04
63,departamental,Quindío,,Educación,educacion_incidencia_tasa_100k,Tasa de incidencia (Educación),Tasa x100k hab.,Calculo,11.151079136690647,2026-09-04
63,departamental,Quindío,,Educación,educacion_incidencia_idx,Incidencia (Educación),Índice 0-100,Calculo,64.9966214873405,2026-09-04
63,departamental,Quindío,,Educación,educacion_severidad_promedio,Severidad promedio cruda (Educación),Peso promedio,Calculo,2.032258064516129,2026-09-04
63,departamental,Quindío,,Educación,educacion_severidad_idx,Severidad promedio (Educación),Índice 0-100,Calculo,96.12031386224935,2026-09-04
63,departamental,Quindío,,Educación,educacion_idx,Educación,Índice 0-100,Calculo,80.55846767479493,2026-09-04
63,departamental,Quindío,,Productividad (proxy),econ_proxy_n,Puntos registrados (Productividad (proxy)),Número,Naboo,68,2026-09-04
63,departamental,Quindío,,Productividad (proxy),econ_proxy_incidencia_tasa_100k,Tasa de incidencia (Productividad (proxy)),Tasa x100k hab.,Calculo,12.23021582733813,2026-09-04
63,departamental,Quindío,,Productividad (proxy),econ_proxy_incidencia_idx,Incidencia (Productividad (proxy)),Índice 0-100,Calculo,80.89945948044294,2026-09-04
